tSNE_1,tSNE_2,KMeans_Profile,Customer_Profile
5.931579,56.990585,1,5
-2.430802,-8.955485,3,3
-19.772396,14.765399,1,1
-34.963715,-54.572403,0,4
34.925404,5.323223,3,3
32.218616,-37.195312,3,2
-27.00052,-17.10888,0,4
-0.5901111,54.863,1,1
16.025682,55.749584,1,5
-45.044117,-12.621281,0,4
-8.870858,-18.20582,0,3
14.789229,35.50804,1,5
7.609415,40.617844,1,5
-40.43763,-33.506668,0,4
-41.39714,-6.6467605,0,4
-15.928571,22.61022,1,1
-55.539635,-6.8763094,0,4
0.44522092,-31.458273,3,3
27.521532,-20.598663,3,2
74.76144,-17.05606,2,2
56.263622,-25.445919,2,2
11.153355,18.837988,0,5
-21.067177,14.915978,1,5
54.67866,-15.115449,2,2
10.00434,-24.964968,3,3
89.38546,-5.9847856,2,2
-3.2497447,-31.487246,0,3
-44.988956,-11.186056,0,4
-24.911455,50.880928,1,1
-26.826336,-44.658394,0,4
-43.85585,10.400397,0,1
-25.991005,15.172761,1,5
-18.943752,13.853641,1,1
14.153374,58.504967,1,5
-4.0915008,38.954876,1,1
11.106415,65.015976,1,5
-40.43817,-15.041559,0,1
33.48072,-9.669048,3,2
-11.23327,17.64292,1,5
47.4483,3.0188594,2,3
-33.095436,-50.226967,0,4
50.865547,-13.453695,2,2
11.719552,63.320904,1,5
-49.198456,5.3839273,0,1
-52.642822,-37.546818,0,4
-15.934965,-21.219076,3,3
-57.81504,-24.673243,0,4
-4.6883225,56.837593,1,1
21.819067,3.4965112,3,3
8.036349,19.458406,1,4
-22.849133,27.901823,1,1
19.730616,-24.07968,3,3
-23.433903,31.492975,1,1
-22.361778,41.60428,1,5
-37.324326,46.763744,1,1
22.224178,-16.547993,3,3
91.22936,-9.74699,2,2
-32.401264,-27.568542,0,3
25.448042,-10.912597,3,3
6.0992317,-15.868262,3,3
40.160282,4.460345,2,3
-14.390309,-33.280922,0,4
0.6841682,-16.885134,3,3
36.671234,-38.128094,3,2
14.111634,-35.452553,3,4
-21.048637,-22.211111,0,3
16.295883,-25.693151,3,3
88.56809,-11.167107,2,2
81.362595,-0.7956631,2,2
-16.405901,66.07943,1,1
51.150093,-15.68144,2,2
12.110586,19.386038,0,5
46.54017,6.4153776,2,3
-37.87997,12.940705,1,1
-26.46023,-47.627773,0,4
62.520393,-16.905577,2,2
12.4333105,-10.4233885,3,3
7.6277947,35.061684,1,5
-26.497416,1.3271402,0,1
0.6002912,-42.105103,3,2
15.201355,42.249157,1,5
-27.708,-31.997553,0,4
-18.615953,4.055425,0,5
-25.886137,-27.817251,0,4
45.09433,-26.342188,3,2
-10.322655,-26.99358,0,4
4.048916,-10.112284,3,3
-14.382335,54.20583,1,1
-49.219418,-30.248583,0,4
-5.1865153,59.11729,1,1
-38.14363,29.491646,1,5
-12.824447,46.38634,1,1
-15.256995,35.01041,1,1
-45.597305,-1.5570287,0,1
-26.616068,42.24297,1,1
1.6548969,30.1807,1,5
17.260262,-15.472519,3,3
-50.051136,-30.664595,0,4
-55.84287,-36.229286,0,4
4.2081046,23.492601,1,5
48.063602,-29.65429,3,2
-18.805489,53.247612,1,1
58.37615,1.913442,2,2
-44.743797,-45.45443,0,4
-16.261312,-32.561855,0,4
59.860783,-1.5280303,2,2
-9.747109,14.51904,1,1
8.946215,-12.223608,3,3
-49.77037,-1.1901792,0,1
25.235754,-6.1519804,3,3
-20.253208,34.98923,1,1
-27.831425,-49.544704,0,4
-12.615371,-33.676678,0,3
-14.710354,34.281914,1,1
-2.8202713,46.002777,1,5
-5.974044,-9.870524,1,3
30.03947,-39.036156,3,2
23.796299,-24.820621,3,3
-3.096741,-28.952433,3,4
53.186344,-31.017092,2,2
51.970295,-2.872409,2,2
88.50871,-11.839846,2,2
-12.913846,19.48507,1,5
-57.120525,-22.658825,0,4
50.00671,-0.70168674,2,2
82.50316,-13.693827,2,2
7.9260902,28.85244,1,5
14.395746,-32.5797,3,3
-30.06506,-5.0497856,0,4
19.79321,2.691335,3,3
6.371511,36.711296,1,5
72.219986,-8.599667,2,2
-7.1642256,34.41618,1,5
13.0515175,-7.128276,3,3
-52.666595,-42.5184,0,4
3.111301,-11.750023,3,3
0.9662073,60.534157,1,1
-38.0532,-54.736465,0,4
4.521256,-21.52784,3,3
41.689358,8.542918,2,3
14.1368475,50.619797,1,5
3.3980267,25.325525,1,5
15.371733,-1.9744234,3,3
53.28548,-11.07896,2,2
-38.573566,-44.772602,0,5
19.817583,5.382524,3,3
-42.326176,26.289572,1,1
46.089947,-12.639571,2,3
20.59023,-9.448913,3,3
-35.965134,-44.083546,0,4
-13.16628,-45.774155,0,4
30.238354,-20.898417,3,2
-11.163316,-11.585188,0,3
75.19093,-25.461628,2,2
8.789941,32.542793,1,5
25.100452,5.0033565,3,3
11.072361,48.142063,3,5
